iter	Passed	Remaining
964	11574	419
965	11585	407
966	11596	395
967	11606	383
968	11617	371
969	11628	359
970	11640	347
971	11652	335
972	11663	323
973	11675	311
974	11685	299
975	11696	287
976	11707	275
977	11718	263
978	11730	251
979	11740	239
980	11752	227
981	11763	215
982	11774	203
983	11786	191
984	11798	179
985	11810	167
986	11819	155
987	11831	143
988	11842	131
989	11853	119
990	11865	107
991	11875	95
992	11887	83
993	11897	71
994	11908	59
995	11919	47
996	11930	35
997	11941	23
998	11952	11
999	11964	0
